ticker,exchange,name,sector,industry
AAPL,NASDAQ,APPLE INC.,TECHNOLOGY,COMPUTER MANUFACTURING
AB,NYSE,ALLIANCEBERNSTEIN HOLDING L.P.,FINANCE,INVESTMENT MANAGERS
ABM,NYSE,ABM INDUSTRIES INCORPORATED,FINANCE,DIVERSIFIED COMMERCIAL SERVICES
ABT,NYSE,ABBOTT LABORATORIES,HEALTH CARE,MAJOR PHARMACEUTICALS
ABX,NYSE,BARRICK GOLD CORPORATION,BASIC INDUSTRIES,PRECIOUS METALS
ACXM,NASDAQ,ACXIOM CORPORATION,TECHNOLOGY,EDP SERVICES
ADBE,NASDAQ,ADOBE SYSTEMS INCORPORATED,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
ADI,NASDAQ,"ANALOG DEVICES, INC.",TECHNOLOGY,SEMICONDUCTORS
ADM,NYSE,ARCHER-DANIELS-MIDLAND COMPANY,CONSUMER NON-DURABLES,PACKAGED FOODS
ADP,NASDAQ,"AUTOMATIC DATA PROCESSING, INC.",TECHNOLOGY,EDP SERVICES
